date,strategy,spy
2021-06-22,328745.50109306327,233225.05080768492
2021-06-23,328021.83493480633,232943.9350759146
2021-06-24,329718.90167819813,234321.9403113029
2021-06-25,331342.42394621565,235154.32653083763
2021-06-28,333651.16332519375,235628.36623525957
2021-06-29,333372.7281591075,235755.1643868904
2021-06-30,333233.563953866,235953.55984827102
2021-07-01,334007.4262952458,237259.94977559135
2021-07-02,335537.8317888083,239073.46031616218
2021-07-06,335429.50411933765,238637.97300929783
2021-07-07,336588.27758712054,239481.32020460872
2021-07-08,332950.2329728255,237530.10453158547
2021-07-09,337258.2431987299,240065.65360288357
2021-07-12,338872.4757116879,240925.55925092698
2021-07-13,336997.4180203022,240104.22399875935
2021-07-14,337056.1041431199,240462.53451723576
2021-07-15,335312.4828110588,239641.18126674998
2021-07-16,333435.0183897202,237761.5449051583
2021-07-19,328263.5415794511,234250.3070049167
2021-07-20,333730.29328058974,237607.22732501882
2021-07-21,339162.87615093397,239530.95956616983
2021-07-22,340362.0238514799,240032.59069237317
2021-07-23,345494.73707010865,242502.06793760502
2021-07-26,343809.8767602469,243097.34431333788
2021-07-27,342710.11359223473,241989.42184067093
2021-07-28,342840.2793722403,241890.14311754878
2021-07-29,345866.9176959731,242893.36937331912
2021-07-30,347368.5269135663,241713.79559594783
2021-08-02,347928.10907494556,241206.63898606092
2021-08-03,350737.6448610737,243168.95962140587
2021-08-04,350813.17376923247,241972.86338793844
2021-08-05,350906.26065755,243505.2222001026
2021-08-06,352486.7361370713,243907.62859813837
2021-08-09,352293.1784192408,243709.19714012137
2021-08-10,350714.8643188184,244012.37880998952
2021-08-11,351822.5481601294,244618.6701564531
2021-08-12,350802.3934631518,245351.79565118387
2021-08-13,352018.3122908143,245798.33392541533
2021-08-16,352191.66329136747,246377.06984673385
2021-08-17,348963.8440006484,244761.97276586184
2021-08-18,344571.20482012845,242083.0670902004
2021-08-19,347412.7394152099,242457.90006477296
2021-08-20,350352.326373092,244387.1577896075
2021-08-23,353265.7290409209,246536.8949122387
2021-08-24,352834.45824164373,246928.26834122554
2021-08-25,354860.8280436026,247446.45792016137
2021-08-26,352814.83993912896,245985.71441606522
2021-08-27,357168.659536006,248185.03690530296
2021-08-30,357689.5667491736,249276.50891514652
2021-08-31,356621.6023116405,248907.14742930298
2021-09-01,356532.5130357841,249039.47106461736
2021-09-02,358444.9226638423,249805.64147154035
2021-09-03,359284.0528426569,249744.96914093033
2021-09-07,356007.61987691,248851.98258405834
2021-09-08,356389.26166766725,248548.85490914475
2021-09-09,355614.84988808166,247485.02831603715
2021-09-10,353737.32212766795,245533.68665478658
2021-09-13,353621.60616497026,246162.09793430255
2021-09-14,352564.9358134523,244833.67806552077
2021-09-15,355297.68802886404,246878.66497630085
2021-09-16,356606.4491183332,246487.32754395038
2021-09-17,352574.23664168426,244086.2979027855
2021-09-20,347984.58088385774,240016.33821104988
2021-09-21,348232.58478861436,239789.59539852396
2021-09-22,351720.31524824264,242128.72882344207
2021-09-23,355231.8184352435,245070.57192950443
2021-09-24,355526.5420426327,245474.27420644969
2021-09-27,352748.389509631,244771.99782909226
2021-09-28,344095.9282529441,239839.37874663054
2021-09-29,343670.3853657197,240243.02702862123
2021-09-30,339474.5763453818,237306.7274045606
2021-10-01,342562.6793801265,240126.90187967557
2021-10-04,338015.6558853593,237030.2012439281
2021-10-05,342630.5305133836,239496.54678179536
2021-10-06,344198.8497628369,240491.90777251776
2021-10-07,347708.3861384541,242571.1094861722
2021-10-08,345978.09008759545,242128.72882344207
2021-10-11,344249.22299692925,240375.7646252539
2021-10-12,343807.3120666772,239784.10591147677
2021-10-13,345438.7233295686,240646.69330893012
2021-10-14,352700.0888410606,244694.56906424972
2021-10-15,353677.5083244077,246558.09693106357
2021-10-18,356978.766869119,247288.01872515696
2021-10-19,358841.4398876627,249195.84045303022
2021-10-20,359652.86700256704,250174.58899606558
2021-10-21,362624.8353746853,250827.11802195277
2021-10-22,362894.7237953261,250567.22230732552
2021-10-25,363149.73219913646,251910.95874488485
2021-10-26,365410.5808644472,252137.68355909258
2021-10-27,363476.9468351212,251020.68993405916
2021-10-28,366533.1783281432,253442.741610867
2021-10-29,370378.6625891296,253956.9895581198
2021-11-01,370082.97665235965,254393.86273548458
2021-11-02,377051.34550393233,255422.4306232629
2021-11-03,380263.517084221,256981.8769042992
2021-11-04,386479.72719601344,258192.85774690766
2021-11-05,388870.95908620494,259088.68803805328
2021-11-08,389019.2857485923,259309.88736857745
2021-11-09,390467.79562851944,258452.71746489854
2021-11-10,386027.73649448476,256373.51575124406
2021-11-11,388912.0275942109,256456.50599640654
2021-11-12,392823.52432739624,258391.91914606123
2021-11-15,393106.49935806374,258480.45287322544
2021-11-16,394957.1519845354,259503.42328404746
2021-11-17,392867.54449857573,258873.03218953084
2021-11-18,394366.75554133655,259752.25003298942
2021-11-19,393204.0713634437,259287.74943720683
2021-11-22,389728.4990677689,258557.82764311344
2021-11-23,390048.38441049104,258900.64160963043
2021-11-24,391741.690630372,259591.86701962075
2021-11-26,383556.90943903924,253802.1320284347
2021-11-29,391233.44457053376,256915.427113551
2021-11-30,383561.7812611008,251916.5022268866
2021-12-01,378776.6053649192,249118.42968650584
2021-12-02,384620.3351182451,252933.9831506614
2021-12-03,382199.14114580856,250733.14880269594
2021-12-06,383479.240519118,253702.63732549426
2021-12-07,398275.8850103692,258950.38896110066
2021-12-08,398282.1021724674,259636.12488404376
2021-12-09,393125.9816848538,257883.2146808102
2021-12-10,398659.40519195015,260310.75584466523
2021-12-13,394649.0122278077,258004.82931680302
2021-12-14,392378.4513105577,256229.72718724425
2021-12-15,403140.94579920446,260233.36307645903
2021-12-16,395433.91015368234,257938.5235126003
2021-12-17,392868.84900877066,255193.2220411453
2021-12-20,390200.17954046646,252479.7235979275
2021-12-21,397061.5210148758,256963.4826231116
2021-12-22,401112.6563931431,259532.76054269305
2021-12-23,403608.43382031086,261147.659642065
2021-12-27,412520.95216682646,264843.4163003647
2021-12-28,411245.1840432767,264626.9865241602
2021-12-29,413874.178800311,264965.462895994
2021-12-30,411198.85652973596,264233.0213373544
2021-12-31,412303.8888340919,263567.0655660993
2022-01-03,406449.18861527025,265093.07097194326
2022-01-04,403904.38298572047,265004.3212649608
2022-01-05,392631.5300986894,259915.67476213176
2022-01-06,395651.38062558154,259671.56357255494
2022-01-07,388220.34701761615,258644.9035065045
2022-01-10,388852.9337801362,258323.00358572134
2022-01-11,390682.11358914484,260675.94172068924
2022-01-12,390860.80097504664,261380.66586932016
2022-01-13,385173.66286959243,257779.2563949593
2022-01-14,384278.68767492485,257884.69054290158
2022-01-18,375756.31867995404,253317.6353011458
2022-01-19,371595.3983323322,250687.27108963602
2022-01-20,364158.47951100057,247912.66835617175
2022-01-21,358051.5354734416,243046.01310986717
2022-01-24,364351.31929070794,244078.1446646466
2022-01-25,354370.87037289125,241098.16312234494
2022-01-26,353065.9759981408,240493.29364301817
2022-01-27,349862.7266440243,239305.80060564438
2022-01-28,357443.42050841334,245249.04325265152
2022-01-31,367076.636197291,249666.22649886008
2022-02-01,368990.5052209271,251353.17286593653
2022-02-02,376105.1682396758,253794.86070788692
2022-02-03,368968.67377417395,247829.39013791826
2022-02-04,368337.24726908444,248994.76324223966
2022-02-07,364729.3396294807,248195.61991639718
2022-02-08,368610.5212729863,250237.76309290362
2022-02-09,378421.57048587693,253900.27685751102
2022-02-10,370696.3997718995,249338.85508934796
2022-02-11,361235.28748707904,244422.16451848214
2022-02-14,360246.8504688882,243623.05718927606
2022-02-15,368073.75862832717,247551.9640613764
2022-02-16,368366.54924975644,247829.39013791826
2022-02-17,359478.35803881724,242535.43681952462
2022-02-18,356219.96240733686,240965.01156439394
2022-02-22,351231.7984415174,238379.12119712544
2022-02-23,342317.48274900985,234150.50633056712
2022-02-24,351407.30274998874,237674.30705690358
2022-02-25,358156.9561231917,242918.29704400877
2022-02-28,358283.47784782224,242296.83311531314
2022-03-01,352330.7537745684,238606.58394237884
2022-03-02,359972.33189594914,242995.99578362415
2022-03-03,359223.8201597429,241786.2748232888
2022-03-04,357962.712813714,239821.84838471594
2022-03-07,344479.8688839492,232752.1090006724
2022-03-08,340834.87171141524,230987.4278973442
2022-03-09,353211.35084188305,237180.43320583904
2022-03-10,351653.62937965145,236109.40728545646
2022-03-11,348200.33671625843,233107.21581851147
2022-03-14,345796.0533344448,231403.65700374794
2022-03-15,355547.49798460427,236492.30350657698
2022-03-16,365413.0207777796,241736.34748863673
2022-03-17,368834.0914606397,244760.67688695234
2022-03-18,374817.6513414729,247441.5083826598
2022-03-21,371727.64260053186,247369.13714522796
2022-03-22,374707.138778563,250263.71666772998
2022-03-23,370013.0919738984,247040.70383494275
2022-03-24,378579.8781565619,250764.6998544786
2022-03-25,379041.8520750182,251989.30542395497
2022-03-28,381144.4488888082,253781.66794065552
2022-03-29,386064.43175037496,256921.2045736892
2022-03-30,381094.44437561784,255334.8148103262
2022-03-31,376310.78892824077,251404.864035771
2022-04-01,373374.6888671216,252117.3814561771
2022-04-04,377200.8914828685,254277.14364203875
2022-04-05,372510.18771072186,251065.28976652774
2022-04-06,369249.28334362013,248554.7943541466
2022-04-07,372810.6529868927,249807.24332185902
2022-04-08,371775.7710514262,249139.28973728514
2022-04-11,365479.8967868357,244880.90565244472
2022-04-12,365492.10232257954,243973.55643765914
2022-04-13,370601.72280739597,246767.93932281143
2022-04-14,363604.3974178766,243695.24844352607
2022-04-18,362969.4628421627,243795.4270825576
2022-04-19,368360.99020495097,247730.9933323873
2022-04-20,370205.7501015492,247547.26650032948
2022-04-21,362167.45747420983,243845.55239870973
2022-04-22,351756.9916864026,237154.64161587637
2022-04-25,355687.8818524731,238529.5691388546
2022-04-26,346144.33032929036,231621.52664540743
2022-04-27,347022.21763283707,232272.77779070335
2022-04-28,350115.3073449419,238139.9235484138
2022-04-29,336993.6333462907,229339.30390259816
2022-05-02,339723.45217972645,230719.77490757813
2022-05-03,340317.5891089861,231777.42807754743
2022-05-04,350332.5528615789,238835.7025329055
2022-05-05,337227.1432945764,230346.84975473347
2022-05-06,334261.252881978,228971.92223175525
2022-05-09,323332.2302172149,221640.84726762946
2022-05-10,326898.84566051624,222152.9714133361
2022-05-11,321771.1718033182,218623.80718817978
2022-05-12,325099.0199548583,218395.58851356248
2022-05-13,335219.0727269071,223616.93661638783
2022-05-16,332975.7625544428,222709.56940328405
2022-05-17,340438.53175315505,227290.8433164079
2022-05-18,321230.4091828532,218128.34948511474
2022-05-19,322306.39429315645,216792.37032269422
2022-05-20,320380.7355353746,216887.0234780422
2022-05-23,323429.9684572391,220945.05028481953
2022-05-24,321645.93327472353,219258.42788747046
2022-05-25,325738.2766458083,221195.4788840802
2022-05-26,333412.44762353576,225615.3078830623
2022-05-27,341907.78263912053,231153.96633553298
2022-05-31,338115.2411614171,229856.93553367018
2022-06-01,334575.04682331014,227997.78125817588
2022-06-02,341670.3315856566,232339.64154276985
2022-06-03,336846.84100585984,228526.57184652414
2022-06-06,337910.36197132233,229222.36882933407
2022-06-07,340409.2180882924,231421.16936734438
2022-06-08,334929.0267769415,228905.07647800693
2022-06-09,330195.37717981555,223461.05318256604
2022-06-10,320767.3270471355,216981.67663339016
2022-06-13,309481.7365793019,208743.28845111516
2022-06-14,309534.08117775543,208114.2472304626
2022-06-15,314402.9924473372,211081.2159887147
2022-06-16,305903.6328179772,204095.2767741521
2022-06-17,307050.2161272606,204535.22766392695
2022-06-21,314902.4030609809,209684.15053436585
2022-06-22,314408.48397468135,209303.95406097345
2022-06-23,318063.82329633005,211355.708339392
2022-06-24,327773.5741215113,218075.52442123447
2022-06-27,327263.5338037416,217242.54425719957
2022-06-28,319832.99219943344,212803.65503925688
2022-06-29,319484.4289007359,212630.3312351114
2022-06-30,317500.61202041066,210902.87065379493
2022-07-01,317920.03874139633,213133.49221836068
2022-07-05,320097.4761182574,213535.98860798738
2022-07-06,322703.45105485286,214257.14522112347
2022-07-07,328801.4442677746,217466.19135899722
2022-07-08,330366.1193677238,217287.28807621365
2022-07-11,327402.5860581619,214805.06802170502
2022-07-12,323122.1827267359,212904.2476396067
2022-07-13,321184.82462464354,211786.17411548205
2022-07-14,318800.8109559294,211271.81817832016
2022-07-15,325724.1665437954,215308.17500999977
2022-07-18,322523.90005743667,213530.3911310311
2022-07-19,331335.9115365611,219299.84201761984
2022-07-20,332045.68228165986,220697.4834181507
2022-07-21,332737.9069022725,222944.8794152672
2022-07-22,328898.9010520623,220876.3867009343
2022-07-25,330752.42742233473,221144.72362679147
2022-07-26,326917.4972647767,218528.36210683157
2022-07-27,336004.419909485,224202.74587675405
2022-07-28,339459.1167491483,227014.80311036648
2022-07-29,343890.23657234944,230324.36985531732
2022-08-01,343072.548436409,229642.30558928443
2022-08-02,342356.37604692427,228127.3151541712
2022-08-03,347716.53235745255,231699.62134802292
2022-08-04,346424.56275169685,231543.1079730646
2022-08-05,349153.19490836206,231151.75254239593
2022-08-08,350023.4476841645,230883.39761822057
2022-08-09,348098.1725595226,229966.56328975013
2022-08-10,354148.406781007,234796.7899400433
2022-08-11,353167.84624576103,234796.7899400433
2022-08-12,358514.8858558186,238771.64651847625
2022-08-15,359533.18278640707,239755.61457378598
2022-08-16,360793.4932584657,240225.244690252
2022-08-17,358341.3462986988,238520.06602685162
2022-08-18,359531.9398646327,239213.3432451153
2022-08-19,355010.57533528947,235998.771623558
2022-08-22,349952.6022130162,231084.69080882936
2022-08-23,349511.0405011641,230525.62704928976
2022-08-24,350861.7131888247,231263.61208993115
2022-08-25,356506.19431705755,234528.4530141861
2022-08-26,346673.9226568744,226589.89881459635
2022-08-29,343538.68747172656,225091.6288170793
2022-08-30,338133.1193601017,222620.6217148015
2022-08-31,333921.7613033973,220926.6920002683
2022-09-01,335303.66681006516,221619.89722525922
2022-09-02,334557.938247238,219283.03158843276
2022-09-06,334410.0258391876,218455.68489799052
2022-09-07,339938.0735911025,222380.23617708948
2022-09-08,345867.4502259344,223833.79835222883
2022-09-09,350437.8558399206,227311.09142436882
2022-09-12,350300.2137237666,229754.12914018327
2022-09-13,337756.1119004983,219763.82066217499
2022-09-14,338608.88100962987,220602.4342998026
2022-09-15,335597.7476873303,218097.86033410515
2022-09-16,334712.6669538674,216434.04180589961
2022-09-19,337594.12117949524,218112.4209735188
2022-09-20,334757.81037100364,215608.8189170035
2022-09-21,329418.5461817249,211847.800356956
2022-09-22,325556.93428407086,210068.32463607768
2022-09-23,320301.5716754484,206548.69951956073
2022-09-26,317004.2868311072,204505.33245741753
2022-09-27,319554.7188644713,203983.32723502596
2022-09-28,327365.38644748664,207996.97018915295
2022-09-29,321671.7089504658,203652.05019046713
2022-09-30,317936.348149836,200502.93845215772
2022-10-03,328107.2566093293,205796.44181259666
2022-10-04,337937.6969038776,212173.40793128576
2022-10-05,338081.97021987266,211679.37209535754
2022-10-06,337030.31434005836,209495.74413957927
2022-10-07,328690.2431537127,203652.05019046713
2022-10-10,328813.74866382475,202097.12148729587
2022-10-11,326484.7165300167,200817.2610809839
2022-10-12,326168.62121484126,200154.85097841176
2022-10-13,331889.56450850045,205437.1953815745
2022-10-14,320633.45430075086,200755.50885128265
2022-10-17,326448.7276994064,205914.33079672468
2022-10-18,330655.55465638207,208333.73672075896
2022-10-19,326695.4365121509,206857.40667311245
2022-10-20,326261.91169117007,205122.8367561119
2022-10-21,333379.21663873363,210107.61496468098
2022-10-24,338235.0059713411,212678.58472617206
2022-10-25,344170.71320720896,216074.77737655924
2022-10-26,342218.48928612826,214446.86549313774
2022-10-27,344989.6135292319,213301.68650182273
2022-10-28,352817.4213509528,218376.2943164655
2022-10-31,352033.81112569326,216798.93970883265
2022-11-01,354447.55255829694,215850.21236053403
2022-11-02,344587.43952331063,210433.22253901072
2022-11-03,343893.21510891477,208266.42301073778
2022-11-04,348810.9093425824,211263.9889099086
2022-11-07,353208.1150389108,213284.8760726356
2022-11-08,355988.6190856029,214435.61654427057
2022-11-09,348579.4454617081,210017.82135524362
2022-11-10,364504.30660669575,221559.1169047401
2022-11-11,363419.92689219094,223703.52652518783
2022-11-14,364822.6394742619,221800.56434322518
2022-11-15,365474.34941320965,223692.27757632063
2022-11-16,362904.14101938833,221985.80303401078
2022-11-17,362215.3442330589,221306.56450393333
2022-11-18,364920.2641340491,222311.356613386
2022-11-21,365448.03406812047,221502.96215199516
