fecha,hasta,event,excess_return,factor_adjusted_return,residual,Mkt-RF,SMB,HML,RMW,CMA,Mom
2019-07-02,2019-10-02,other,-0.0410434404893554,-0.047345869139577085,-0.053306755999643074,0.00041384705738187997,-0.0032505881428920246,0.002567459314883149,0.0040152220502998855,0.004243079539592507,-0.0016865911690437064
2019-10-02,2020-01-02,other,0.1181354008592873,0.027014587584671,0.021053700724605013,0.09358381177623708,0.0011239337608736077,-0.0026180394326351824,-0.002105659591640327,-0.0013520777722209418,0.002488844534002065
2020-01-02,2020-04-02,covid_2020,-0.242944812591329,0.025950341197163274,0.019989454337097288,-0.2142719866368231,-0.00832130758993419,-0.02628565604947446,-0.007521761531075671,-0.004802066406543371,-0.0076923755746414494
2020-04-02,2020-07-02,covid_2020,0.2963627046160172,0.05711953019305885,0.05115864333299286,0.23908245441571643,0.004515352734801101,-0.009801785780825682,0.007018034592362589,-0.004925146853462476,0.003354265314366409
2020-07-02,2020-10-02,covid_2020,0.0800935116628507,-0.007073400080563411,-0.013034286940629396,0.1019756808010516,-0.002787800970802254,-0.008279054931262561,0.0058099777061688,-0.0033653521705119247,-0.0061865386912295485
2020-10-02,2021-01-04,covid_2020,0.1168170094663994,-0.06096231197774889,-0.06692319883781488,0.15899087531104777,0.012115887058702136,0.0054759853509660185,-0.00886062784055944,0.0008737092947830253,0.009183492269208773
2021-01-02,2021-04-05,other,0.1882842042437142,0.07702623081872868,0.0710653439586627,0.06260238390542733,0.007330478943274678,0.02216526405538254,0.005060769013483126,0.008845493874773623,0.0052535836326442235
2021-04-02,2021-07-02,other,0.0494106358527756,-0.03309082231498265,-0.03905170917504864,0.08523767574259969,-0.0015268925000330065,-0.0028075224653557464,0.004658985069417752,-0.0009846096381003623,-0.0020761780407700737
2021-07-02,2021-10-04,other,0.0231322257537653,0.020811722385561077,0.014850835525495092,-0.002729910910221237,-0.0028267786810703493,0.003528572843359347,0.0057802851869184785,-0.00045682861592445505,-0.000974836454857563
2021-10-02,2022-01-03,other,0.1614274872586987,0.04395647387048736,0.03799558701042137,0.08729913149538872,-0.00350097416595873,0.0027407825299375845,0.02586543013645135,0.006025618397592246,-0.0009589750051998236
2022-01-02,2022-04-04,rates_2022,-0.0289720050399827,0.00011248769434148154,-0.005848399165724505,-0.057168598885515814,-0.002298225146390469,0.01664164333866909,-0.004970831195372709,0.019802353647979526,-0.0010908344936938056
2022-04-02,2022-07-05,rates_2022,-0.1208217592738624,0.03513189476414014,0.02917100790407415,-0.18090030245390026,0.0006487283310077714,0.009714728976489138,0.012372689850504506,0.006884691840426472,-0.004674190582530191
2022-07-02,2022-10-03,rates_2022,-0.0275990535170303,0.040195424792184485,0.034234537932118496,-0.04611906905064143,0.001588688581924,-0.00463561803209604,-0.009493760095799282,-0.008596153800079727,-0.0005385659125223057
2022-10-02,2023-01-03,rates_2022,0.0786818116300804,-0.027501453383185576,-0.033462340243251565,0.05977664947286813,-0.0008086962134951978,0.013022241123963529,0.01832263321600933,0.019714509349949973,-0.00384407193602979
2023-01-02,2023-04-03,rally_2023_2024,0.0358362698404518,-0.014551639334746819,-0.020512526194812804,0.06743467061068396,-0.0015303375877935936,-0.015731661738851863,0.0013748123799153448,-0.010639235128305446,0.00947966063955021
2023-04-02,2023-07-03,rally_2023_2024,0.0582204687905689,-0.007634087635704348,-0.013594974495770334,0.07828996615368701,-0.0012060245780665473,-0.009463733283459359,0.005248843779086784,-0.008016140531723025,0.0010016448867483892
2023-07-02,2023-10-02,rally_2023_2024,-0.051531095086078,-0.012697965558345028,-0.018658852418411014,-0.047033724478615604,-0.001805235214598408,0.005199212520316536,0.008313103351745043,-0.0035044723629898255,-2.0133435907094458e-06
2023-10-02,2024-01-02,rally_2023_2024,0.1310537655565417,0.018636852819865546,0.01267596595979956,0.11051286612491529,0.0018826184445373275,0.008077285193621279,-0.007770266103323472,-0.0010395527827387738,0.0007539618596645087
2024-01-02,2024-04-02,rally_2023_2024,0.1204437297592126,0.044002143736004404,0.038041256875938415,0.09250132301127113,-0.0052136330070542206,-0.002119925715030533,-0.00011107935527865606,-0.0030756125281622116,-0.005539486382537323
2024-04-02,2024-07-02,rally_2023_2024,-0.0429103619329824,-0.05739202995659235,-0.06335291681665833,0.023580995274421777,-0.0042955900749846445,-0.005987601322114294,0.008964826723504047,-0.006777225570022738,-0.0010037370071941981
2024-07-02,2024-10-02,rally_2023_2024,0.0466925132059179,-0.008270349862019591,-0.014231236722085577,0.048421768546228455,0.0024108079656689914,0.001802466765146159,0.0021709615525679223,0.0011011483214856338,-0.0009442900831596661
2024-10-02,2025-01-02,rally_2023_2024,-0.0030228792564419,-0.014535887846082054,-0.02049677470614804,0.021901133623235324,-0.0001594691437040103,-0.0020235824185193423,-0.003455564483398124,-0.0028818775263500375,-0.001867631461623654
2025-01-02,2025-04-02,other,-0.0368569374287384,0.018865759418020628,0.012904872557954642,-0.06388674774098191,-0.005101015639244156,0.011501132952360528,0.0013661507172190337,-0.00093650155359632,0.001334284417483796
2025-04-02,2025-07-02,other,0.1092701543828809,0.021516372826200295,0.015555485966134309,0.10753885371730441,-0.001828585018825282,-0.008674648675804033,-0.008504823220454238,0.0016369590659708149,-0.0024139743115110723
