group,start,end,n_obs,dof,hac_lags,coefficient,estimate,se_hac,t_hac,ci_low,ci_high
rolling_16,2018-07-02,2022-07-05,16,9,2,alpha,0.011991068823669725,0.008148945064426425,1.4714872574139426,-0.003980863502606067,0.027963001149945516
rolling_16,2018-07-02,2022-07-05,16,9,2,Mkt-RF,0.905015121308099,0.0829600138256207,10.909052199658644,0.7424134942098825,1.0676167484063157
rolling_16,2018-07-02,2022-07-05,16,9,2,SMB,0.021408748312926384,0.2500758509010439,0.08560901916674041,-0.46873991945311966,0.5115574160789724
rolling_16,2018-07-02,2022-07-05,16,9,2,HML,-0.020460157246854575,0.2921538655206143,-0.07003212916726208,-0.5930817336672586,0.5521614191735494
rolling_16,2018-07-02,2022-07-05,16,9,2,RMW,0.6831220512197533,0.224714113267025,3.039960602777129,0.24268238921638435,1.1235617132231224
rolling_16,2018-07-02,2022-07-05,16,9,2,CMA,0.1057693331688278,0.32197075871616726,0.32850602207037244,-0.5252933539148601,0.7368320202525156
rolling_16,2018-07-02,2022-07-05,16,9,2,Mom,-0.38751341623328617,0.16075446563189733,-2.410591921723851,-0.7025921688718049,-0.07243466359476741
rolling_16,2018-10-02,2022-10-03,16,9,2,alpha,0.018824606500352625,0.008565331814055615,2.1977673380337293,0.002036556144803619,0.035612656855901634
rolling_16,2018-10-02,2022-10-03,16,9,2,Mkt-RF,0.8884033913248802,0.09551741037487718,9.300957677120469,0.701189266990121,1.0756175156596395
rolling_16,2018-10-02,2022-10-03,16,9,2,SMB,0.007589367538079345,0.27399614642723374,0.027698811231620307,-0.5294430794592988,0.5446218145354575
rolling_16,2018-10-02,2022-10-03,16,9,2,HML,0.09070585608718126,0.29991212232524217,0.3024414464608221,-0.4971219036702933,0.6785336158446559
rolling_16,2018-10-02,2022-10-03,16,9,2,RMW,0.598820806592655,0.2178050395100608,2.7493432105137052,0.17192292915293583,1.0257186840323742
rolling_16,2018-10-02,2022-10-03,16,9,2,CMA,-0.13063971166099259,0.3759158295519207,-0.3475238374949808,-0.8674347375827571,0.6061553142607721
rolling_16,2018-10-02,2022-10-03,16,9,2,Mom,-0.35290623517579706,0.15470632059982148,-2.2811365030693147,-0.6561306235514471,-0.04968184680014698
rolling_16,2019-01-02,2023-01-03,16,9,2,alpha,0.022150154865963154,0.010309352493571752,2.148549569895351,0.00194382397856252,0.04235648575336379
rolling_16,2019-01-02,2023-01-03,16,9,2,Mkt-RF,0.8374215391745792,0.09718948420999723,8.616380115416224,0.6469301501229846,1.0279129282261739
rolling_16,2019-01-02,2023-01-03,16,9,2,SMB,-0.11101591852158137,0.32039477516992354,-0.3464972812453116,-0.7389896778546314,0.5169578408114688
rolling_16,2019-01-02,2023-01-03,16,9,2,HML,0.10317381820846086,0.2937186292931355,0.35126753266130717,-0.4725146952060848,0.6788623316230065
rolling_16,2019-01-02,2023-01-03,16,9,2,RMW,0.6193577716645289,0.22197849537421638,2.7901701496822993,0.1842799207310648,1.054435622597993
rolling_16,2019-01-02,2023-01-03,16,9,2,CMA,-0.18710474300872798,0.3334579739772258,-0.5611044197776679,-0.8406823720040906,0.46647288598663467
rolling_16,2019-01-02,2023-01-03,16,9,2,Mom,-0.4967788437855384,0.20973464837097794,-2.3686064636627786,-0.9078587545926551,-0.08569893297842163
rolling_16,2019-04-02,2023-04-03,16,9,2,alpha,0.010625262630768439,0.007826351440727774,1.3576265659979605,-0.004714386193057998,0.025964911454594876
rolling_16,2019-04-02,2023-04-03,16,9,2,Mkt-RF,0.9042554824317982,0.10400544711036534,8.694308880497843,0.7004048060954822,1.1081061587681142
rolling_16,2019-04-02,2023-04-03,16,9,2,SMB,0.2120806601218077,0.31511786830363053,0.6730201028062879,-0.40555036175330816,0.8297116819969236
rolling_16,2019-04-02,2023-04-03,16,9,2,HML,0.22527730804126445,0.32593631734501716,0.6911697041811976,-0.4135578739549691,0.864112490037498
rolling_16,2019-04-02,2023-04-03,16,9,2,RMW,0.48118425035840084,0.2399518604347362,2.00533660996255,0.010878603906317896,0.9514898968104838
rolling_16,2019-04-02,2023-04-03,16,9,2,CMA,-0.19406759351945158,0.35004541349471374,-0.5544069027557258,-0.8801566039690905,0.4920214169301873
rolling_16,2019-04-02,2023-04-03,16,9,2,Mom,-0.023390046589368226,0.1341933592138566,-0.17430107366261535,-0.2864090306485272,0.23962893746979075
rolling_16,2019-07-02,2023-07-03,16,9,2,alpha,0.01013929866493687,0.007864536190200862,1.2892430551175211,-0.00527519226785682,0.02555378959773056
rolling_16,2019-07-02,2023-07-03,16,9,2,Mkt-RF,0.9056188419324984,0.10185123843273979,8.891583999055134,0.7059904146043284,1.1052472692606683
rolling_16,2019-07-02,2023-07-03,16,9,2,SMB,0.21179947720728268,0.3165163594667676,0.6691580731059192,-0.40857258734758184,0.8321715417621471
rolling_16,2019-07-02,2023-07-03,16,9,2,HML,0.22889287865387556,0.3343391493911265,0.6846128521614001,-0.4264118541527324,0.8841976114604835
rolling_16,2019-07-02,2023-07-03,16,9,2,RMW,0.4604901710907549,0.2357047364252594,1.953673812731267,-0.0014911123027535056,0.9224714544842634
