symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
OKE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-05,1346,,,0
OM,,,0,,,0,,,0,,,0
OMC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-10-20,841,,,0
OMX,,,0,2000-01-03,2013-11-05,3483,,,0,2011-04-29,2013-11-05,412
ONE,,,0,2003-09-11,2015-12-31,1585,,,0,,,0
ORCL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-21,2015-12-18,757,,,0
ORLY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-05-07,2015-11-06,924,,,0
ORX,,,0,,,0,,,0,,,0
OWENQ,,,0,2000-01-03,2006-10-31,1718,,,0,,,0
OXY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-10-30,837,,,0
PAC,,,0,,,0,,,0,,,0
PALM,,,0,2000-03-02,2010-07-01,2599,,,0,,,0
PAS,,,0,,,0,,,0,,,0
PAYX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-23,2015-12-23,852,,,0
PBCT,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-10,2015-11-09,646
PBG,,,0,2000-01-03,2015-12-31,4025,,,0,2009-10-09,2010-02-22,63
PBI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-06,754,,,0
PBY,,,0,,,0,,,0,,,0
PCAR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-28,2015-11-05,634,,,0
PCG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-10-28,684,,,0
PCH,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
PCL,,,0,2000-01-03,2015-12-31,4025,,,0,2009-11-04,2015-11-03,88
PCP,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-07,2015-11-05,1002
PCS,,,0,2007-04-19,2013-04-30,1519,,,0,2010-08-09,2015-10-27,805
PD,,,0,,,0,,,0,,,0
PDCO,,,0,2000-01-03,2015-12-31,4025,,,0,2010-09-09,2015-12-10,886
PDG,,,0,2000-01-03,2015-12-15,1903,,,0,,,0
PEG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-03,2015-10-30,900,,,0
PEL,,,0,,,0,,,0,,,0
PEP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-08,2015-10-07,873,,,0
PET,,,0,,,0,,,0,,,0
PETM,,,0,2000-01-03,2015-03-11,3820,,,0,2010-08-27,2014-11-26,616
PFE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-05,743,,,0
PFG,2001-10-23,2015-12-31,3573,2001-10-23,2015-12-31,3573,2009-08-05,2015-10-28,875,,,0
PG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-29,2015-10-26,1076,,,0
PGL,,,0,2000-01-03,2015-12-31,3535,,,0,,,0
PGN,,,0,2014-07-21,2015-12-17,358,,,0,2009-09-02,2012-11-08,475
PGR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-05,572,,,0
PH,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-03,2015-11-03,1112,,,0
PHA,,,0,2000-01-03,2003-04-15,824,,,0,,,0
PHB,,,0,,,0,,,0,,,0
PHM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-05,2015-10-22,665,,,0
PKI,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-10,2015-11-10,892
PLD,1997-11-21,2015-12-31,4556,2000-01-03,2015-12-31,4025,2010-08-03,2015-11-02,595,,,0
PLL,,,0,,,0,,,0,2010-12-10,2015-05-21,532
PM,2008-03-17,2015-12-31,1964,2008-03-17,2015-12-31,1964,2009-08-14,2015-10-30,1127,,,0
PMCS,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-05,2015-11-03,887
PMI,,,0,,,0,,,0,,,0
PNC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-05,498,,,0
PNR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-29,2015-10-20,1204,,,0
PNU,,,0,2000-01-03,2000-03-31,63,,,0,,,0
PNW,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-03,2015-10-30,674,,,0
POM,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
PPG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-27,2015-10-26,1120,,,0
PPL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-25,2015-10-30,985,,,0
PPW,,,0,,,0,,,0,,,0
PRD,,,0,2000-01-03,2001-10-09,443,,,0,,,0
PRGO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2013-11-04,2015-11-02,359,,,0
PRU,2001-12-13,2015-12-31,3537,2001-12-13,2015-12-31,3537,2009-08-07,2015-11-05,869,,,0
PSA,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-05,833,,,0
PSFT,,,0,2008-04-10,2015-12-31,1947,,,0,,,0
PSX,2012-04-12,2015-12-31,937,2012-04-12,2015-12-31,937,2012-05-16,2015-10-30,383,,,0
PTC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-12,2015-11-23,774,,,0
PTV,,,0,2000-01-03,2010-11-16,2736,,,0,2010-08-09,2010-11-09,72
PVH,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-10-06,2015-12-08,644,,,0
