symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
A,1999-11-18,2015-12-31,4055,2000-01-03,2015-12-31,4025,2009-10-05,2015-12-21,867,,,0
AABA,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
AAL,2005-09-27,2015-12-31,2584,2005-09-27,2015-12-31,2584,2010-07-21,2015-10-23,594,,,0
AAMRQ,,,0,,,0,,,0,,,0
AAP,2001-11-29,2015-12-31,3547,2001-11-29,2015-12-31,3547,2010-06-02,2015-11-17,848,,,0
AAPL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-22,2015-10-28,1195,,,0
ABBV,2013-01-02,2015-12-31,756,2012-12-10,2015-12-31,771,2013-05-08,2015-11-06,285,,,0
ABC,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-06,2015-11-24,1261
ABI,,,0,2009-05-11,2014-05-06,671,,,0,,,0
ABKFQ,,,0,,,0,,,0,,,0
ABS,,,0,2000-01-03,2006-06-01,1612,,,0,,,0
ABT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,902,,,0
ABX,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ACAS,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ACKH,,,0,2000-01-03,2007-12-12,1998,,,0,,,0
ACN,2001-07-19,2015-12-31,3636,2001-07-19,2015-12-31,3636,2009-12-18,2015-12-17,870,,,0
ACS,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ACV,,,0,2015-05-22,2015-12-31,155,,,0,,,0
ADBE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-06-26,2015-09-23,1008,,,0
ADCT,,,0,,,0,,,0,,,0
ADI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-18,2015-11-24,982,,,0
ADM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-06,2015-11-03,1009,,,0
ADP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-06,2015-11-05,777,,,0
ADS,,,0,2001-06-08,2015-12-31,3664,,,0,2010-08-09,2015-11-05,734
ADSK,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-06-03,2015-12-09,1153,,,0
ADT,,,0,,,0,,,0,,,0
AEE,1998-01-02,2015-12-31,4529,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-06,1010,,,0
AEP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-04,2015-10-22,883,,,0
AES,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,1011,,,0
AET,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-31,2015-10-29,922
AFL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-03,648,,,0
AFS-A,,,0,,,0,,,0,,,0
AGC,,,0,,,0,,,0,,,0
AGN,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
AHM,,,0,,,0,,,0,,,0
AIG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-03,2015-11-02,683,,,0
AIT,,,0,,,0,,,0,,,0
AIV,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-16,2015-11-05,729,,,0
AIZ,2004-02-05,2015-12-31,2998,2004-02-05,2015-12-31,2998,2009-08-06,2015-11-03,752,,,0
AKAM,1999-10-29,2015-12-31,4069,2000-01-03,2015-12-31,4025,2009-09-04,2015-11-09,850,,,0
AKS,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-04,2015-11-04,886
AL,,,0,2011-04-19,2015-12-31,1184,,,0,,,0
ALL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-27,2015-11-02,809,,,0
ALLE,2013-11-18,2015-12-31,534,2013-11-18,2015-12-31,534,2014-04-30,2015-10-29,239,,,0
ALTR,,,0,,,0,,,0,2009-07-22,2015-10-22,847
ALXN,,,0,2000-01-03,2015-12-31,4025,,,0,2010-07-30,2015-11-02,702
AM,,,0,,,0,,,0,,,0
AMAT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-01,2015-12-09,1114,,,0
AMCC,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
AMD,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-04,2015-11-03,746,,,0
AME,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-05,912,,,0
AMG,1997-11-21,2015-12-31,4556,2000-01-03,2015-12-31,4025,2010-08-09,2015-11-09,662,,,0
AMGN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-02,930,,,0
AMH,,,0,,,0,,,0,,,0
AMP,2005-09-15,2015-12-31,2592,2005-09-15,2015-12-31,2592,2009-08-05,2015-11-02,693,,,0
AMT,1998-02-27,2015-12-31,4491,2000-01-03,2015-12-31,4025,2009-08-06,2015-10-29,993,,,0
AMZN,1997-05-15,2015-12-31,4689,2000-01-03,2015-12-31,4025,2009-07-24,2015-10-23,1208,,,0
AN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-09,2015-10-28,682,,,0
ANDV,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ANDW,,,0,2000-01-03,2007-12-27,2008,,,0,,,0
ANF,1996-09-26,2015-12-31,4849,2000-01-03,2015-12-31,4025,2010-09-08,2015-12-07,665,,,0
ANRZQ,,,0,,,0,,,0,,,0
ANTM,,,0,2001-10-30,2015-12-31,3568,,,0,2009-07-29,2015-10-28,957
ANV,,,0,,,0,,,0,,,0
AON,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-10-30,936,,,0
APA,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,,,0
APC,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
APCC,,,0,2000-01-03,2007-02-14,1789,,,0,,,0
APD,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-24,2015-11-24,1150,,,0
APH,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-05,968,,,0
APOL,,,0,2000-01-03,2015-12-31,4025,,,0,2010-01-07,2015-10-22,987
APTV,2011-11-17,2015-12-31,1036,2011-11-17,2015-12-31,1036,2012-04-26,2015-10-29,593,,,0
AR,,,0,,,0,,,0,,,0
ARC,,,0,2005-02-04,2015-12-31,2746,,,0,,,0
ARG,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-06,2015-11-04,806
ARNC,,,0,,,0,,,0,,,0
AS,,,0,,,0,,,0,,,0
ASC,,,0,,,0,,,0,,,0
ASH,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ASN,,,0,2000-01-03,2007-10-05,1951,,,0,,,0
ASND,,,0,,,0,,,0,,,0
ASO,,,0,,,0,,,0,,,0
AT,,,0,2010-07-23,2015-12-31,1371,,,0,,,0
ATGE,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ATI,1999-11-29,2015-12-31,4049,2000-01-03,2015-12-31,4025,2009-08-27,2015-10-29,765,,,0
ATVI,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-07,2015-11-06,839
AV,,,0,2009-10-20,2015-12-31,1561,,,0,2011-08-11,2015-11-23,726
AVB,,,0,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-03,702,,,0
AVGO,2009-08-06,2015-12-31,1613,2009-08-06,2015-12-31,1613,,,0,,,0
AVP,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-30,2015-11-04,1049
AVY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-11,2015-11-03,652,,,0
AW,,,0,2000-01-03,2008-12-05,2246,,,0,,,0
AWE,,,0,2000-04-27,2004-10-26,1130,,,0,,,0
AXP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-02,2015-10-28,663,,,0
AYE,,,0,2000-01-03,2015-12-31,4018,,,0,2009-08-07,2011-02-23,241
AZA-A,,,0,,,0,,,0,,,0
AZO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-12-17,2015-12-16,1032,,,0
BA,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-22,2015-10-21,1064,,,0
BAC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-10-30,652,,,0
BAX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-28,2015-11-09,832,,,0
BAY,,,0,,,0,,,0,,,0
BBBY,,,0,2000-01-03,2015-12-31,4025,,,0,2009-10-07,2015-10-07,728
BBI,,,0,,,0,,,0,,,0
BBT,2000-06-28,2015-12-31,3902,2000-01-03,2015-12-31,4025,2011-08-09,2015-11-09,409,,,0
BBY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-08,2015-12-04,1226,,,0
BC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2011-05-06,2015-11-04,756
BCO,,,0,,,0,,,0,,,0
BCR,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-27,2015-10-23,839
BDK,,,0,2000-01-03,2010-03-12,2563,,,0,2010-07-30,2015-10-27,1193
BDX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-25,795,,,0
BEAM,,,0,,,0,,,0,,,0
BEN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-12,917,,,0
BEV,,,0,,,0,,,0,,,0
BF-B,1996-01-02,2015-12-31,5036,,,0,2010-09-02,2015-12-02,624,,,0
BFI,,,0,,,0,,,0,,,0
BFO,,,0,2003-09-26,2015-12-31,3053,,,0,,,0
BGEN,,,0,2000-01-03,2012-09-20,1349,,,0,,,0
BGG,,,0,2000-01-03,2015-12-31,4023,,,0,,,0
BHGE,,,0,,,0,,,0,,,0
BHMSQ,,,0,,,0,,,0,,,0
BIG,,,0,2000-01-03,2015-12-31,4025,,,0,2010-09-08,2015-12-09,793
BIIB,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-17,2015-10-21,943,,,0
BJS,,,0,2000-01-03,2010-04-28,2595,,,0,2009-08-10,2010-02-09,89
BK,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-06,784,,,0
BKB,,,0,,,0,,,0,,,0
BKNG,1999-03-31,2015-12-31,4217,2000-01-03,2015-12-31,4025,2010-08-04,2015-11-09,844,,,0
BLK,1999-10-01,2015-12-31,4089,2000-01-03,2015-12-31,4025,,,0,,,0
BLL,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-04,2015-10-30,878
BLS,,,0,2000-01-03,2006-12-29,1759,,,0,,,0
BLY,,,0,,,0,,,0,,,0
BMC,,,0,2000-01-03,2013-09-10,3443,,,0,2009-08-05,2013-08-05,578
BMET,,,0,2000-01-03,2007-09-25,1943,,,0,2011-10-14,2013-01-14,208
BMGCA,,,0,,,0,,,0,,,0
BMS,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-09,2015-10-30,746
BMY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-23,2015-10-27,863,,,0
BNI,,,0,2000-01-03,2010-02-12,2544,,,0,2009-07-24,2015-11-06,483
BNL,,,0,,,0,,,0,,,0
BOAT,,,0,,,0,,,0,,,0
BOL,,,0,2000-01-03,2007-10-26,1966,,,0,,,0
BR,2007-03-22,2015-12-31,2212,2007-03-22,2015-12-31,2212,2010-11-04,2015-11-05,709,,,0
BRCM,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-24,2015-10-26,931
BRK-B,1996-05-09,2015-12-31,4946,,,0,2009-11-06,2015-11-06,653,,,0
BRL,,,0,2000-01-03,2008-12-22,2257,,,0,,,0
BSC,,,0,2008-03-17,2011-08-25,626,,,0,,,0
BSX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-04,889,,,0
BT,,,0,,,0,,,0,,,0
BTUUQ,,,0,2001-05-22,2015-12-31,3676,,,0,,,0
BUD,,,0,2009-07-01,2015-12-31,1636,,,0,,,0
BVSN,,,0,2000-01-03,2015-12-31,3992,,,0,,,0
BWA,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-29,2015-10-29,1069,,,0
BXLT,,,0,2015-07-01,2015-12-31,128,,,0,2015-08-13,2015-11-12,50
BXP,1997-06-18,2015-12-31,4666,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-06,970,,,0
C,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-06,2015-10-30,769,,,0
CA,,,0,,,0,,,0,2009-07-30,2015-10-22,845
CAG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-07,2015-10-06,872,,,0
CAH,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-09,2015-11-03,1061,,,0
CAL,,,0,,,0,,,0,,,0
CAM,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-06,2015-10-22,1058
CAR,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
CAT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-12,2015-10-30,894,,,0
CB,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-04,731,,,0
CBB,,,0,,,0,,,0,,,0
CBE,1996-01-02,2015-12-31,5019,2000-01-03,2015-12-31,4025,,,0,2009-08-06,2012-11-05,518
CBH,,,0,,,0,,,0,,,0
CBRE,2004-06-10,2015-12-31,2911,2004-06-10,2015-12-31,2911,2010-08-09,2015-11-09,883,,,0
CBS,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-06,2015-11-03,1023
CBSS,,,0,2000-01-03,2007-09-06,1930,,,0,,,0
CCB,,,0,,,0,,,0,,,0
CCE,,,0,2000-11-06,2015-12-31,3120,,,0,2010-10-28,2015-10-29,917
CCI,1998-08-18,2015-12-31,4372,2000-01-03,2015-12-31,4025,2009-08-28,2015-11-06,987,,,0
CCK,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
CCL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-01,2015-10-02,663,,,0
CCTYQ,,,0,2000-01-03,2011-09-26,2952,,,0,,,0
CCU,,,0,2000-01-03,2015-12-31,4016,,,0,,,0
CE,2005-01-21,2015-12-31,2756,2005-01-21,2015-12-31,2756,2009-07-29,2015-10-20,1151,,,0
CEG,,,0,,,0,,,0,,,0
CELG,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-31,2015-11-05,708
CEN,,,0,2013-09-26,2015-12-31,571,,,0,,,0
CEPH,,,0,2000-01-03,2011-10-13,2965,,,0,2010-07-28,2011-08-03,176
CERN,,,0,2000-01-03,2015-12-31,4025,,,0,2010-07-30,2015-11-04,767
CF,2005-08-11,2015-12-31,2616,2005-08-11,2015-12-31,2616,2009-08-03,2015-12-16,1233,,,0
CFC,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
CFL,,,0,,,0,,,0,,,0
CFN,,,0,2009-08-21,2015-03-16,1400,,,0,2011-11-08,2015-02-06,739
CG,,,0,2012-05-03,2015-12-31,922,,,0,,,0
CGP,,,0,2000-01-03,2015-12-31,761,,,0,,,0
CHA,,,0,2002-11-14,2015-12-31,3300,,,0,,,0
CHD,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-09,2015-11-02,859,,,0
CHIR,,,0,,,0,,,0,,,0
CHK,,,0,,,0,,,0,2009-08-10,2015-11-04,873
CHRS,,,0,,,0,,,0,,,0
CHRW,1997-10-16,2015-12-31,4582,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-09,914,,,0
CI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,,,0
CIEN,1997-02-07,2015-12-31,4756,2000-01-03,2015-12-31,4025,2010-09-08,2015-12-21,667,,,0
CIN,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
CINF,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-29,2015-10-27,676,,,0
CIT-A,,,0,,,0,,,0,,,0
CITGQ,,,0,2002-07-03,2009-12-09,1874,,,0,,,0
CL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-30,2015-10-30,1024,,,0
CLF,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-30,2015-10-29,994,,,0
CLX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-03,2015-11-02,958,,,0
CMA,,,0,2000-01-03,2015-12-31,4025,,,0,2010-07-30,2015-10-29,421
CMB,,,0,,,0,,,0,,,0
CMCSA,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-10-27,1064,,,0
CMCSK,,,0,,,0,,,0,2009-08-06,2015-10-27,1064
CME,2002-12-06,2015-12-31,3290,2002-12-06,2015-12-31,3290,2009-09-04,2015-11-06,967,,,0
CMG,2006-01-26,2015-12-31,2501,2006-01-26,2015-12-31,2501,2010-07-27,2015-10-21,614,,,0
CMI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-30,2015-10-27,878,,,0
CMS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-28,2015-10-29,815,,,0
CMVT,,,0,2000-01-03,2013-02-04,3292,,,0,,,0
CMX,,,0,2000-01-03,2015-12-31,3108,,,0,,,0
CNC,2001-12-13,2015-12-31,3537,2001-12-13,2015-12-31,3537,2010-07-27,2015-10-27,795,,,0
CNG,,,0,2000-01-03,2015-12-31,1051,,,0,,,0
CNP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-05,847,,,0
CNW,,,0,,,0,,,0,,,0
CNX,1999-04-30,2015-12-31,4196,2000-01-03,2015-12-31,4025,2009-04-27,2015-11-03,934,,,0
CNXT,,,0,2014-07-24,2015-12-31,360,,,0,,,0
COC-B,,,0,,,0,,,0,,,0
COF,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-02,621,,,0
COG,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-30,2015-10-23,600
COL,,,0,2001-06-15,2015-12-31,3659,,,0,2009-08-17,2015-11-17,823
COMS,,,0,2008-08-15,2015-12-31,1858,,,0,,,0
COP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-04,2015-11-03,803,,,0
COST,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-12-18,2015-12-18,1273,,,0
COV,,,0,2007-06-14,2012-06-15,1263,,,0,2009-07-30,2015-01-23,959
CPB,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-12-10,2015-12-10,959,,,0
CPGX,,,0,2015-07-02,2015-12-31,127,,,0,2015-08-03,2015-11-03,56
CPNLQ,,,0,2000-01-03,2008-02-01,2032,,,0,,,0
CPQ,,,0,2000-01-03,2002-05-03,585,,,0,,,0
CPWR,,,0,2006-12-04,2015-12-04,401,,,0,,,0
CR,,,0,,,0,,,0,,,0
CRM,2004-06-23,2015-12-31,2903,2004-06-23,2015-12-31,2903,2009-08-25,2015-11-20,1141,,,0
CRR,,,0,,,0,,,0,,,0
CSCO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-18,2015-11-19,1184,,,0
CSE,,,0,,,0,,,0,,,0
CSR,,,0,2000-01-03,2015-12-31,4016,,,0,,,0
CSRA,,,0,2015-11-16,2015-12-31,32,,,0,2015-12-04,2015-12-04,31
CSX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-04-15,2015-10-14,816,,,0
CTAS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-10-08,2015-10-09,742,,,0
CTB,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
CTL,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-06,2015-11-05,849
CTSH,1998-06-19,2015-12-31,4413,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,1040,,,0
CTX,,,0,2000-01-03,2015-12-31,3364,,,0,,,0
CTXS,,,0,2003-09-11,2015-12-31,3086,,,0,2009-08-07,2015-11-04,1001
CVC,,,0,2000-01-03,2015-12-31,4025,,,0,2009-11-03,2015-11-03,857
CVG,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-09,2015-11-04,919
CVH,,,0,2000-01-03,2013-05-06,3355,,,0,2010-08-06,2013-05-01,495
CVS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-04,2015-10-30,1071,,,0
CVX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-05-07,2015-11-06,798,,,0
CYM,,,0,,,0,,,0,,,0
CYR,,,0,,,0,,,0,,,0
D,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-31,2015-11-03,993,,,0
DAL,2007-05-03,2015-12-31,2183,2007-04-26,2015-12-31,2188,2010-08-02,2015-10-14,655,,,0
DALRQ,,,0,2000-01-03,2007-04-27,1839,,,0,,,0
DCNAQ,,,0,2000-01-03,2008-01-31,2031,,,0,,,0
DD,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,,,0
DDR,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-06,2015-11-04,648
DDS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2010-09-02,2015-12-04,832
DE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-28,2015-12-18,1015,,,0
DEC,,,0,,,0,,,0,,,0
DELL,,,0,,,0,,,0,,,0
DF,,,0,2000-01-03,2015-12-31,4024,,,0,2010-08-06,2015-11-09,953
DFS,,,0,2007-06-14,2015-12-31,2154,2009-10-07,2015-10-29,683,,,0
DG,2009-11-13,2015-12-31,1543,2009-11-13,2015-12-31,1543,2011-06-01,2015-12-03,460,,,0
DGN,,,0,,,0,,,0,,,0
DGX,1996-12-17,2015-12-31,4792,2000-01-03,2015-12-31,4025,2009-07-28,2015-10-29,1057,,,0
DHI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-03,2015-11-19,539,,,0
DHR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-23,2015-11-24,1285,,,0
DI,,,0,,,0,,,0,,,0
DIGI,,,0,,,0,,,0,,,0
DIS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,,,0
DISCA,,,0,2005-07-06,2015-12-31,2642,,,0,2009-08-04,2015-11-03,1159
DISCK,,,0,2008-09-18,2015-12-31,1835,,,0,2009-08-04,2015-11-03,1159
DJ,,,0,2000-01-03,2007-12-13,1999,,,0,,,0
DLTR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-19,2015-11-24,835,,,0
DLX,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
DNB,,,0,,,0,,,0,2010-08-04,2015-11-03,830
DNR,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-10,2015-11-06,623
DO,,,0,,,0,,,0,2009-07-29,2015-11-02,809
DOV,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-24,2015-10-20,1021,,,0
DOW,,,0,,,0,,,0,,,0
DPHIQ,,,0,2000-01-03,2009-10-07,2456,,,0,,,0
DRI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-04-02,2015-10-02,856,,,0
DTE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-28,2015-10-23,920,,,0
DTV,,,0,,,0,,,0,2010-02-26,2015-10-20,1029
DUK,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,1075,,,0
DVA,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,989,,,0
DVN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-04,896,,,0
DWD,,,0,,,0,,,0,,,0
DXC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,,,0
DYN,,,0,,,0,,,0,,,0
EA,,,0,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-10,944,,,0
EBAY,1998-09-24,2015-12-31,4346,2000-01-03,2015-12-31,4025,2009-07-29,2015-10-28,1135,,,0
EC,,,0,2008-09-18,2015-12-31,1835,,,0,,,0
ECH,,,0,,,0,,,0,,,0
ECL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-02,936,,,0
ECO,,,0,,,0,,,0,,,0
ED,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-02,2015-11-05,673,,,0
EDS,,,0,2000-01-03,2008-08-25,2174,,,0,,,0
EFU,,,0,2007-10-25,2015-12-31,2043,,,0,,,0
EFX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-04-29,2015-10-22,943,,,0
EHC,,,0,2000-01-03,2015-12-31,4019,,,0,,,0
EIX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-10-27,911,,,0
EKDKQ,,,0,2000-01-03,2013-09-03,3438,,,0,,,0
EL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-11-01,2015-11-02,851,,,0
EMC,,,0,,,0,,,0,2009-08-05,2015-11-09,1105
EMN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-30,2015-11-03,932,,,0
EMR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-18,960,,,0
ENDP,,,0,2000-01-03,2015-12-31,4024,,,0,2010-08-02,2014-03-03,799
ENRNQ,,,0,2000-01-03,2004-11-17,1226,,,0,,,0
ENS,,,0,,,0,,,0,,,0
EOG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-05,820,,,0
EOP,,,0,2000-01-03,2007-02-09,1786,,,0,,,0
EP,1999-10-27,2015-12-31,4071,2000-01-19,2015-12-24,2128,2011-08-12,2015-11-16,228,,,0
EQ,,,0,,,0,,,0,,,0
EQIX,2000-08-11,2015-12-31,3871,2000-08-11,2015-12-31,3871,2010-08-04,2015-10-30,707,,,0
EQR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-05,1169,,,0
EQT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-29,2015-10-22,669,,,0
ES,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-06,2015-11-06,508,,,0
ESRX,,,0,2000-01-03,2015-12-31,4025,,,0,2012-05-10,2015-10-27,721
ESS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-06,2015-11-04,740,,,0
ESV,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-23,2015-10-29,977
ETFC,,,0,2000-01-03,2015-12-31,4024,,,0,2010-08-04,2015-11-04,584
ETN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2012-11-14,2015-10-30,458,,,0
ETR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-04,2015-11-04,874,,,0
