year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,selected_source,coverage_status,price_attribution,price_source_status,terminal_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,membership_exit_next_365d
2014,2014-06-30,ADBE,0000796343,cik:0000796343,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,0.00010711164913820516,False,yahoo,complete,accredited_entity_interval,tier_a,none,1997-05-06,2016-01-01,source_boundary,7372,False
2014,2014-06-30,ADI,0000006281,cik:0000006281,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.4889140931594342e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1999-10-12,2016-01-01,source_boundary,3674,False
2014,2014-06-30,ADM,0000007084,cik:0000007084,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,3.6583825664759957e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2070,False
2014,2014-06-30,ADP,0000008670,cik:0000008670,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.0784937123619064e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,7374,False
2014,2014-06-30,ADS,0001101215,cik:0001101215,corroborated_candidate,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,2013-12-23,2016-01-01,source_boundary,7389,False
2014,2014-06-30,ADSK,0000769397,cik:0000769397,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,0.0001353488356794319,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,7372,False
2014,2014-06-30,ADT,0001546640,cik:0001546640,confirmed_by_multiple_evidence,253,0,,,0,,,0,insufficient_overlap,,False,,incomplete_prices,legacy_symbol_unattributed,excluded,none,2012-10-02,2016-01-01,source_boundary,7381,False
2014,2014-06-30,AEE,0001002910,cik:0001002910,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,3.6711312503756595e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,4931,False
2014,2014-06-30,AEP,0000004904,cik:0000004904,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.6377810381517104e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,4911,False
2014,2014-06-30,AES,0000874761,cik:0000874761,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,9.653689370021649e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1998-10-02,2016-01-01,source_boundary,4991,False
