symbol,cik,historical_name,sha256,accession,filed_date,source_url,candidate_status,member_in_fja
SE,0001373835,SPECTRA ENERGY CORP.,2e397af8c85c84ea88f0fd27cf71e113dac5e39d8097c081644dc7b076492a8e,0001193125-12-081966,2012-02-27,https://www.sec.gov/Archives/edgar/data/1373835/000119312512081966/se-20111231.xml,agrees,True
SUN,0000095304,SUNOCO INC,b12129175282c6869d5871f82fc1a24846ec0a0fde7cb495d00055994b73495b,0001193125-12-085407,2012-02-28,https://www.sec.gov/Archives/edgar/data/95304/000119312512085407/sun-20111231.xml,agrees,True
YHOO,0001011006,YAHOO INC,b4aa24e17d1eba5e73c7e00ecb18d3224494f42be6c8648ee7e8d1941d84c291,0001193125-12-086972,2012-02-29,https://www.sec.gov/Archives/edgar/data/1011006/000119312512086972/yhoo-20111231.xml,agrees,False
ENDP,0001100962,ENDO PHARMACEUTICALS HOLDINGS INC,c26cc8ccf68fe740820ac8f1d4bfd78bd95a56ca6161554dd9500577f9230737,0001193125-12-089641,2012-02-29,https://www.sec.gov/Archives/edgar/data/1100962/000119312512089641/endp-20111231.xml,missing,False
POM,0001135971,,171d77d2ea7f4bf711a0c3c6100dfa9c3d8cc51780e0334f32d5b39cb463908a,0001193125-12-209000,2012-05-04,https://www.sec.gov/Archives/edgar/data/1135971/000119312512209000/pom-20120331.xml,agrees,True
SUN,0000095304,SUNOCO INC,0179ac203377e38ef18e2c89aeb5ff583561bad62272cec96380ef1d364caa47,0001193125-12-217995,2012-05-08,https://www.sec.gov/Archives/edgar/data/95304/000119312512217995/sun-20120331.xml,agrees,True
SLE,0000023666,Sara Lee Corp,ceef9a77c771eaaabba43de06c64cb0868935254c66c984427357cb6c9c71550,0001193125-12-218355,2012-05-08,https://www.sec.gov/Archives/edgar/data/23666/000119312512218355/sle-20120331.xml,agrees,False
SE,0001373835,SPECTRA ENERGY CORP.,563413fcd2e703eb50ca809149b3c0c37b6b3db8a8f5b5062e6acbfaed2446d6,0001193125-12-221887,2012-05-09,https://www.sec.gov/Archives/edgar/data/1373835/000119312512221887/se-20120331.xml,agrees,True
YHOO,0001011006,YAHOO INC,c2d2b62217cb463230b17dd75228850a46ffb5b957dca85dd2726ccecc71b463,0001193125-12-222082,2012-05-09,https://www.sec.gov/Archives/edgar/data/1011006/000119312512222082/yhoo-20120331.xml,agrees,False
HST,0001070750,,993fe9194cb38869d78e245cc4084f3adb8eefc1e251ac49202b28b4894b8e83,0001193125-12-310543,2012-07-23,https://www.sec.gov/Archives/edgar/data/1070750/000119312512310543/hst-20120615.xml,agrees,True
