year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_symbol,finsaber_symbol,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,sec_first_periodic,sec_delisting,listing_check,yahoo_level,finsaber_level,finsaber_adjustment,yahoo_adjustment,level_ratio,selected_source,source_symbol,coverage_status,history,price_attribution,price_source_status,forward_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,public_float_usd,membership_exit_next_365d
2010,2010-12-31,AMP,0000820027,cik:0000820027,corroborated_candidate,253,AMP,AMP,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,2.9469210593724433e-06,False,2005-11-14,,,passed,passed,not_assessed,not_assessed,"[1.0033, 1.0061]",yahoo,AMP,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2005-10-03,2016-01-01,source_boundary,6282,9100000000.0,False
2010,2010-12-31,AMT,0001053507,cik:0001053507,corroborated_candidate,253,AMT,AMT,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,2.8517578502085257e-06,False,1998-04-09,,,passed,passed,not_assessed,not_assessed,"[0.9916, 0.9995]",yahoo,AMT,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2007-11-19,2016-01-01,source_boundary,4899,17700000000.0,False
2010,2010-12-31,AMZN,0001018724,cik:0001018724,confirmed_by_multiple_evidence,253,AMZN,AMZN,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,3.685464165573366e-05,False,2000-03-29,,,passed,passed,not_assessed,not_assessed,"[0.7972, 0.8043]",yahoo,AMZN,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2005-11-21,2016-01-01,source_boundary,5961,39007666822.0,False
2010,2010-12-31,AN,0000350698,cik:0000350698,confirmed_by_multiple_evidence,253,AN,AN,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,8.563015161167088e-08,False,1995-08-14,,,passed,passed,not_assessed,not_assessed,"[0.2946, 0.2623]",yahoo,AN,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2003-02-24,2016-01-01,source_boundary,5500,841000000.0,False
2010,2010-12-31,ANDV,0000050104,cik:0000050104,corroborated_candidate,253,ANDV,ANDV,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1994-03-30,2018-10-01,,missing,passed,no_dividends_consistent,not_assessed,"[0.9607, 1.0066]",finsaber,ANDV,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,2007-09-27,2016-01-01,source_boundary,2911,1600000000.0,False
2010,2010-12-31,ANF,0001018840,cik:0001018840,corroborated_candidate,253,ANF,ANF,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,3.50404434154461e-06,False,1996-12-13,,,passed,passed,not_assessed,not_assessed,[1.0003],yahoo,ANF,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2007-03-29,2013-12-23,exit,5651,,False
2010,2010-12-31,AON,0000315293,cik:0000315293,corroborated_candidate,253,AON,AON,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,2.654056634112668e-06,False,1995-03-31,,,passed,passed,not_assessed,not_assessed,"[0.9965, 1.0]",yahoo,AON,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-04-23,2016-01-01,source_boundary,6411,9976592769.0,False
2010,2010-12-31,APA,0000006769,cik:0000006769,confirmed_by_multiple_evidence,253,APA,APA,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,1.5413149427723216e-06,False,2003-08-14,,,passed,passed,not_assessed,not_assessed,"[0.9273, 0.9998]",yahoo,APA,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1997-07-28,2016-01-01,source_boundary,1311,28439311280.0,False
2010,2010-12-31,APC,0000773910,cik:0000773910,confirmed_by_multiple_evidence,253,APC,APC,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1994-03-18,2019-08-09,,missing,passed,dividends_reconciled,not_assessed,"[0.996, 0.9971]",finsaber,APC,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,1997-07-28,2016-01-01,source_boundary,1311,17790740464.0,False
2010,2010-12-31,APD,0000002969,cik:0000002969,corroborated_candidate,253,APD,APD,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,divergent_overlap,0.0055818171741260966,False,1994-02-14,,,passed,passed,dividend_mismatch,dividends_reconciled,"[1.0808, 1.0805]",yahoo,APD,complete_divergence_resolved_by_sec,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,2810,15700000000.0,False
2010,2010-12-31,APH,0000820313,cik:0000820313,corroborated_candidate,253,APH,APH,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,3.1035683387441515e-05,False,1996-05-15,,,passed,passed,not_assessed,not_assessed,[0.8685],yahoo,APH,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2008-09-30,2016-01-01,source_boundary,3678,6056000000.0,False
2010,2010-12-31,APOL,0000929887,cik:0000929887,corroborated_candidate,253,APOL,APOL,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1995-06-28,2017-02-01,,missing,passed,no_dividends_consistent,not_assessed,"[0.8509, 0.8536]",finsaber,APOL,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,2002-05-15,2013-07-01,exit,8200,7700000000.0,False
2010,2010-12-31,ARG,0000804212,cik:0000804212,confirmed_by_multiple_evidence,253,ARG,ARG,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1995-02-07,2016-05-23,,missing,passed,unexplained_jump,not_assessed,"[0.9102, 0.8922]",,,archive_unexplained_jump,,legacy_symbol_unattributed,excluded,continues_to_next_rebalance,2009-09-09,2016-01-01,source_boundary,5084,5200000000.0,False
