fecha,hasta,retorno,RF,excess_return,Mkt-RF,SMB,HML,RMW,CMA,Mom
2021-01-02,2021-04-05,0.18828420424371423,0.0,0.18828420424371423,0.05984554842800005,0.10678871820000002,0.18784750239999992,0.02806370142500003,0.06502511614399986,-0.09852963273999982
2021-04-02,2021-07-02,0.04941063585277565,0.0,0.04941063585277565,0.08148404474899995,-0.02224341604000002,-0.023793358911999962,0.025835671531999838,-0.007238075903999941,0.03893819422399991
2021-07-02,2021-10-04,0.02313222575376537,0.0,0.02313222575376537,-0.0026096931999998185,-0.0411798566399999,0.02990415967999982,0.032053665600000114,-0.003358244800000021,0.018282811237999796
2021-10-02,2022-01-03,0.1615274872586987,9.999999999998899e-05,0.1614274872586987,0.08345471970399987,-0.05100138020000011,0.023227747324999992,0.1434326891119999,0.04429560877999994,0.017985333759999778
2022-01-02,2022-04-04,-0.028972005039982783,0.0,-0.028972005039982783,-0.05465105224,-0.03348001125399991,0.14103559195999993,-0.02756496534999997,0.14557133429899993,0.020458325127999943
2022-04-02,2022-07-05,-0.11992157927386252,0.0009001799999999172,-0.12082175927386243,-0.17293395451999982,0.009450523965000013,0.08233096479999946,0.06861081248000023,0.05061084127999993,0.08766326257599988
2022-07-02,2022-10-03,-0.02299240062903033,0.004606652887999996,-0.027599053517030327,-0.04408811307400007,0.02314364703799998,-0.0392862123019998,-0.05264615872,-0.06319216395999994,0.010100667520999806
2022-10-02,2023-01-03,0.08720566364108048,0.008523852011000033,0.07868181163008045,0.057144251508000066,-0.011780899000000011,0.11036166610399989,0.10160529091999981,0.14492557208800005,0.07209459724399991
2023-01-02,2023-04-03,0.04637305268045189,0.010536782840000036,0.03583626984045185,0.0644650346200002,-0.022293603279999852,-0.1333236256000001,0.007623806587999882,-0.07821129150000006,-0.17778863850399984
2023-04-02,2023-07-03,0.06936151919056899,0.011141050400000019,0.05822046879056897,0.07484229303400003,-0.017569086523000044,-0.08020381152399991,0.029106640561999964,-0.058928362449999994,-0.01878559660000012
2023-07-02,2023-10-02,-0.038172058011078216,0.013359037074999858,-0.051531095086078074,-0.04496248961199989,-0.026298248191999885,0.044062596499999884,0.046099011782000154,-0.025762125400000113,3.775974999986609e-05
2023-10-02,2024-01-02,0.14451366448054154,0.013459898923999791,0.13105376555654175,0.10564618579999996,0.02742554914999995,0.06845385852399999,-0.04308879289599998,-0.007641974704000076,-0.014140364050000187
2024-01-02,2024-04-02,0.1337018246412124,0.013258094881999805,0.12044372975921261,0.08842782112399994,-0.07595099723999987,-0.017966072943999878,-0.0006159731559999271,-0.02260948508799998,0.10389166652800008
2024-04-02,2024-07-02,-0.029652287144982616,0.013258074787999785,-0.0429103619329824,0.022542553599999682,-0.062577160588,-0.05074408095999994,0.04971304160000023,-0.049820833756000105,0.018824833789999884
